date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:23	19227/19227	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/tin-tuc/tin-tuc/03-01-bao-tri-toan-bo-may-chu.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/tin-tuc/03-01-bao-tri-toan-bo-may-chu.html	(from https://ttl3d.zing.vn/)
11:26:23	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:26:23%20GMT	http://ttl3d.zing.vn/su-kien/vang-danh-giang-ho-642/thien-giang-minh-chau-3402.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/vang-danh-giang-ho-642/thien-giang-minh-chau-3402.37.delayed	(from https://ttl3d.zing.vn/)
11:26:25	9608/9608	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/vang-danh-giang-ho-642/thien-giang-minh-chau-3402.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/vang-danh-giang-ho-642/thien-giang-minh-chau-3402.html	(from https://ttl3d.zing.vn/)
11:26:29	42979/42979	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Sep%202023%2004:29:17%20GMT	http://img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/05-09thumb.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/05-09thumb.jpg	(from https://ttl3d.zing.vn/)
11:26:29	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:26:29%20GMT	http://ttl3d.zing.vn/su-kien/nhat-dai-phu-gia/qua-tang-nap-the-3390.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/nhat-dai-phu-gia/qua-tang-nap-the-3390.3a.delayed	(from https://ttl3d.zing.vn/)
11:26:31	31681/31681	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Jan%202024%2006:48:07%20GMT	http://img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/vangdanhthumb.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/vangdanhthumb.jpg	(from https://ttl3d.zing.vn/)
11:26:31	9571/9571	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/nhat-dai-phu-gia/qua-tang-nap-the-3390.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/nhat-dai-phu-gia/qua-tang-nap-the-3390.html	(from https://ttl3d.zing.vn/)
11:26:34	347788/347788	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2008:13:24%20GMT	http://img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2022/tl37.png	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2022/tl37.png	(from https://ttl3d.zing.vn/)
11:26:35	25178/25178	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202023%2002:13:03%20GMT	http://img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/phugiathumb.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Event/00-all-header/2022/phugiathumb.jpg	(from https://ttl3d.zing.vn/)
11:26:52	107054/107054	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:11%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/vodang.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/vodang.jpg	(from https://ttl3d.zing.vn/)
11:26:53	129669/129669	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/duongmon.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/duongmon.jpg	(from https://ttl3d.zing.vn/)
11:26:53	116846/116846	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/ngami.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/ngami.jpg	(from https://ttl3d.zing.vn/)
11:26:59	510012/510012	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Dec%202023%2008:14:43%20GMT	http://img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2021/tuyetdinh.png	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2021/tuyetdinh.png	(from https://ttl3d.zing.vn/)
11:27:12	122334/122334	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/minhgiao.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/minhgiao.jpg	(from https://ttl3d.zing.vn/)
11:27:14	130495/130495	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/thieulam.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/thieulam.jpg	(from https://ttl3d.zing.vn/)
11:27:14	127728/127728	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/caibang.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/caibang.jpg	(from https://ttl3d.zing.vn/)
11:27:20	129300/129300	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/daohoa.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/daohoa.jpg	(from https://ttl3d.zing.vn/)
11:27:32	120917/120917	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/thienlong.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/thienlong.jpg	(from https://ttl3d.zing.vn/)
11:27:32	110556/110556	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/modung.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/modung.jpg	(from https://ttl3d.zing.vn/)
11:27:34	123865/123865	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/thienson.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/thienson.jpg	(from https://ttl3d.zing.vn/)
11:27:37	12094/12094	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/sinh-tu-loi-dai/ket-qua-chung-cuoc-3169.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/sinh-tu-loi-dai/ket-qua-chung-cuoc-3169.html	(from https://ttl3d.zing.vn/)
11:27:39	121178/121178	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2010:38:10%20GMT	http://img.zing.vn/upload/ks3d/source/News/2021/slide/tieudao.jpg	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/News/2021/slide/tieudao.jpg	(from https://ttl3d.zing.vn/)
11:27:44	49545/49545	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jul%202023%2007:16:00%20GMT	http://img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2022/1stld.png	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2022/1stld.png	(from https://ttl3d.zing.vn/)
